Title,Nationality,Gender,Date,AccessionNumber,Classification,Department,DateAcquired,ObjectID,URL,ThumbnailURL,Diameter (cm),Height (cm),Width (cm)
"Ferdinandsbr�cke Project, Vienna, Austria, Elevation, preliminary version",(Austrian),(Male),1896,885.1996,Architecture,Architecture & Design,4/9/96,2,http://www.moma.org/collection/works/2,http://www.moma.org/media/W1siZiIsIjU5NDA1Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=137b8455b1ec6167,,48.6,168.9
"City of Music, National Superior Conservatory of Music and Dance, Paris, France, View from interior courtyard",(French),(Male),1987,1.1995,Architecture,Architecture & Design,1/17/95,3,http://www.moma.org/collection/works/3,http://www.moma.org/media/W1siZiIsIjk3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=55b65fa4368fe00a,,40.6401,29.8451
"Villa near Vienna Project, Outside Vienna, Austria, Elevation",(Austrian),(Male),1903,1.1997,Architecture,Architecture & Design,1/15/97,4,http://www.moma.org/collection/works/4,http://www.moma.org/media/W1siZiIsIjk4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=fdcfca4db3acac1f,,34.3,31.8
"The Manhattan Transcripts Project, New York, New York, Introductory panel to Episode 1: The Park",(),(Male),1980,2.1995,Architecture,Architecture & Design,1/17/95,5,http://www.moma.org/collection/works/5,http://www.moma.org/media/W1siZiIsIjEyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c89b9071486760a5,,50.8,50.8
"Villa, project, outside Vienna, Austria, Exterior perspective",(Austrian),(Male),1903,2.1997,Architecture,Architecture & Design,1/15/97,6,http://www.moma.org/collection/works/6,http://www.moma.org/media/W1siZiIsIjEyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b21f3d10def77da9,,38.4,19.1
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",(),(Male),1976-77,3.1995.1,Architecture,Architecture & Design,1/17/95,7,http://www.moma.org/collection/works/7,http://www.moma.org/media/W1siZiIsIjE0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=66fd4135e60693d0,,35.6,45.7
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",(),(Male),1976-77,3.1995.1-24,Architecture,Architecture & Design,1/17/95,8,http://www.moma.org/collection/works/8,http://www.moma.org/media/W1siZiIsIjE0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e57fc281da1e6a83,,35.6,45.7
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",(),(Male),1976-77,3.1995.10,Architecture,Architecture & Design,1/17/95,9,http://www.moma.org/collection/works/9,http://www.moma.org/media/W1siZiIsIjE0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e57fc281da1e6a83,,35.6,45.7
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",(),(Male),1976-77,3.1995.11,Architecture,Architecture & Design,1/17/95,10,http://www.moma.org/collection/works/10,http://www.moma.org/media/W1siZiIsIjE1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c63ba008a6d5b139,,35.6,45.7
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",(),(Male),1976-77,3.1995.12,Architecture,Architecture & Design,1/17/95,11,http://www.moma.org/collection/works/11,http://www.moma.org/media/W1siZiIsIjE1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=13e9436b6bfdcb6e,,35.6,45.7
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",(),(Male),1976-77,3.1995.13,Architecture,Architecture & Design,1/17/95,12,http://www.moma.org/collection/works/12,http://www.moma.org/media/W1siZiIsIjE1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6e1527eb9b09450e,,35.6,45.7
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",(),(Male),1976-77,3.1995.14,Architecture,Architecture & Design,1/17/95,13,http://www.moma.org/collection/works/13,http://www.moma.org/media/W1siZiIsIjE1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9a7e91e26cc070d3,,35.6,45.7
